"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: metodoObjetivo","Param: rutaClases"
"dinamica.MetodoBenchmark.medirMetodo:gc.alloc.rate.norm","ss",1,5,"6728,000000","123,220606","B/op",de.adorsys.keycloak.config.model.WorkflowRepresentation#getSchedule,/home/tania/Documentos/ejemplojava/keycloak-config-cli-main/target/classes
"dinamica.MetodoBenchmark.medirMetodo:gc.count","ss",1,5,"0,000000",NaN,"counts",de.adorsys.keycloak.config.model.WorkflowRepresentation#getSchedule,/home/tania/Documentos/ejemplojava/keycloak-config-cli-main/target/classes
"dinamica.MetodoBenchmark.medirMetodo","ss",1,5,"15903,600000","38230,892241","ns/op",de.adorsys.keycloak.config.model.WorkflowRepresentation#getConcurrency,/home/tania/Documentos/ejemplojava/keycloak-config-cli-main/target/classes
"dinamica.MetodoBenchmark.medirMetodo:gc.alloc.rate","ss",1,5,"17,933217","11,600990","MB/sec",de.adorsys.keycloak.config.model.WorkflowRepresentation#getConcurrency,/home/tania/Documentos/ejemplojava/keycloak-config-cli-main/target/classes
"dinamica.MetodoBenchmark.medirMetodo:gc.alloc.rate.norm","ss",1,5,"6747,200000","27,552965","B/op",de.adorsys.keycloak.config.model.WorkflowRepresentation#getConcurrency,/home/tania/Documentos/ejemplojava/keycloak-config-cli-main/target/classes
"dinamica.MetodoBenchmark.medirMetodo:gc.count","ss",1,5,"0,000000",NaN,"counts",de.adorsys.keycloak.config.model.WorkflowRepresentation#getConcurrency,/home/tania/Documentos/ejemplojava/keycloak-config-cli-main/target/classes
"dinamica.MetodoBenchmark.medirMetodo","ss",1,5,"19697,000000","68318,820501","ns/op",de.adorsys.keycloak.config.model.WorkflowRepresentation#getCondition,/home/tania/Documentos/ejemplojava/keycloak-config-cli-main/target/classes
"dinamica.MetodoBenchmark.medirMetodo:gc.alloc.rate","ss",1,5,"10,479379","34,140070","MB/sec",de.adorsys.keycloak.config.model.WorkflowRepresentation#getCondition,/home/tania/Documentos/ejemplojava/keycloak-config-cli-main/target/classes
"dinamica.MetodoBenchmark.medirMetodo:gc.alloc.rate.norm","ss",1,5,"6747,200000","27,552965","B/op",de.adorsys.keycloak.config.model.WorkflowRepresentation#getCondition,/home/tania/Documentos/ejemplojava/keycloak-config-cli-main/target/classes
"dinamica.MetodoBenchmark.medirMetodo:gc.count","ss",1,5,"0,000000",NaN,"counts",de.adorsys.keycloak.config.model.WorkflowRepresentation#getCondition,/home/tania/Documentos/ejemplojava/keycloak-config-cli-main/target/classes
"dinamica.MetodoBenchmark.medirMetodo","ss",1,5,"21738,600000","92186,897609","ns/op",de.adorsys.keycloak.config.model.WorkflowRepresentation#getSteps,/home/tania/Documentos/ejemplojava/keycloak-config-cli-main/target/classes
"dinamica.MetodoBenchmark.medirMetodo:gc.alloc.rate","ss",1,5,"18,355953","10,018311","MB/sec",de.adorsys.keycloak.config.model.WorkflowRepresentation#getSteps,/home/tania/Documentos/ejemplojava/keycloak-config-cli-main/target/classes
"dinamica.MetodoBenchmark.medirMetodo:gc.alloc.rate.norm","ss",1,5,"6747,200000","27,552965","B/op",de.adorsys.keycloak.config.model.WorkflowRepresentation#getSteps,/home/tania/Documentos/ejemplojava/keycloak-config-cli-main/target/classes
"dinamica.MetodoBenchmark.medirMetodo:gc.count","ss",1,5,"0,000000",NaN,"counts",de.adorsys.keycloak.config.model.WorkflowRepresentation#getSteps,/home/tania/Documentos/ejemplojava/keycloak-config-cli-main/target/classes
"dinamica.MetodoBenchmark.medirMetodo","ss",1,5,"25668,600000","115776,906257","ns/op",de.adorsys.keycloak.config.model.WorkflowRepresentation#getCancelInProgress,/home/tania/Documentos/ejemplojava/keycloak-config-cli-main/target/classes
"dinamica.MetodoBenchmark.medirMetodo:gc.alloc.rate","ss",1,5,"15,122289","12,966866","MB/sec",de.adorsys.keycloak.config.model.WorkflowRepresentation#getCancelInProgress,/home/tania/Documentos/ejemplojava/keycloak-config-cli-main/target/classes
"dinamica.MetodoBenchmark.medirMetodo:gc.alloc.rate.norm","ss",1,5,"6747,200000","27,552965","B/op",de.adorsys.keycloak.config.model.WorkflowRepresentation#getCancelInProgress,/home/tania/Documentos/ejemplojava/keycloak-config-cli-main/target/classes
"dinamica.MetodoBenchmark.medirMetodo:gc.count","ss",1,5,"0,000000",NaN,"counts",de.adorsys.keycloak.config.model.WorkflowRepresentation#getCancelInProgress,/home/tania/Documentos/ejemplojava/keycloak-config-cli-main/target/classes
"dinamica.MetodoBenchmark.medirMetodo","ss",1,5,"17234,400000","63844,973278","ns/op",de.adorsys.keycloak.config.model.WorkflowRepresentation#getRestartInProgress,/home/tania/Documentos/ejemplojava/keycloak-config-cli-main/target/classes
"dinamica.MetodoBenchmark.medirMetodo:gc.alloc.rate","ss",1,5,"17,464018","15,864614","MB/sec",de.adorsys.keycloak.config.model.WorkflowRepresentation#getRestartInProgress,/home/tania/Documentos/ejemplojava/keycloak-config-cli-main/target/classes
"dinamica.MetodoBenchmark.medirMetodo:gc.alloc.rate.norm","ss",1,5,"6747,200000","27,552965","B/op",de.adorsys.keycloak.config.model.WorkflowRepresentation#getRestartInProgress,/home/tania/Documentos/ejemplojava/keycloak-config-cli-main/target/classes
"dinamica.MetodoBenchmark.medirMetodo:gc.count","ss",1,5,"0,000000",NaN,"counts",de.adorsys.keycloak.config.model.WorkflowRepresentation#getRestartInProgress,/home/tania/Documentos/ejemplojava/keycloak-config-cli-main/target/classes
